ob_code,obj_id,ra,dec,exptime,priority,resolution,reference_arm,g_ps1,g_ps1_error,r_ps1,r_ps1_error,i_ps1,i_ps1_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error,g_sdss,r_sdss,i_sdss,z_sdss
perseus_032330.1+420358_L_1h,158470508754319886,50.87550346,42.06603068,900.0,6,L,r,658142.4375,3608776802304.0,1187298.0,3597162250240.0,1762461.25,3511397646336.0,1780737.75,3484656861184.0,2073959.125,3566481702912.0,711869.5,1222363.125,510034.65625,2000782.875
perseus_032330.2+413357_M_1h,157870508756229599,50.8756414,41.56580489,900.0,0,M,b,520379.40625,3379714326528.0,1294433.25,3600145186816.0,1275379.75,3469285261312.0,1605461.25,3525656707072.0,3201549.5,3465133686784.0,501187.09375,1309784.875,2023018.375,3104557.5
perseus_032334.1+414821_M_1h,158160508918287426,50.89183661,41.80575891,900.0,5,M,b,617845.375,3578985971712.0,782996.4375,3274311729152.0,1640437.5,3506549817344.0,2092568.75,3478884450304.0,1445706.125,3397191467008.0,723769.3125,1438798.75,2068235.5,2544486.25
perseus_032334.9+405711_L_1h,157140508952134205,50.89522014,40.95297507,900.0,5,L,b,807384.1875,3573715828736.0,1732047.5,3613765926912.0,2772808.0,3578656456704.0,3621428.5,3589549850624.0,3963873.5,3593188671488.0,1088427.5,2601356.25,3962781.5,5541151.0
perseus_032337.4+412159_L_1h,157640509058760379,50.90588657,41.36646279,900.0,3,L,r,152279.046875,3559262519296.0,399061.625,3583274123264.0,655843.5,3597162250240.0,800865.8125,3622763757568.0,1042028.375,3567467364352.0,175226.5625,481725.28125,801678.6875,1234809.625
perseus_032338.4+415020_L_1h,158200509098947228,50.91006078,41.83889747,900.0,4,L,r,372803.375,3585915224064.0,1421674.375,3582944083968.0,909661.9375,3232957726720.0,2922535.75,3527605485568.0,5243240.5,3479845732352.0,329.0031433105469,1257767.625,2280341.5,3218102.75
perseus_032341.4+412101_M_1h,157620509223640891,50.92231176,41.35026708,900.0,5,M,m,97033.21875,3491403399168.0,194177.765625,3538017845248.0,307099.78125,3517224058880.0,363646.59375,3355212251136.0,359948.34375,3470244184064.0,111070.8203125,254448.640625,398107.125,535056.6875
perseus_032341.6+411037_M_1h,157410509231082920,50.9232522,41.17690677,900.0,7,M,m,91385.9375,3477603090432.0,141736.03125,3484335996928.0,179011.1875,3534760706048.0,157877.40625,3485940842496.0,169231.0,3311921528832.0,123708.53125,180135.796875,230143.953125,251188.75
perseus_032343.7+420644_M_1h,158530509318195161,50.93200955,42.1120769,900.0,7,M,m,169449.28125,3460350083072.0,193659.953125,3404081922048.0,345557.1875,3400008728576.0,253302.734375,3243097718784.0,243063.8125,3293366190080.0,200632.0,361410.0,510975.21875,566499.625
perseus_032346.0+405707_M_1h,157140509417963054,50.94181944,40.9519207,900.0,9,M,m,nan,nan,41338.98046875,3370388815872.0,461997.90625,3551730597888.0,467477.0625,3521437761536.0,248381.796875,3365115789312.0,197697.0,471194.46875,735191.1875,863773.75
perseus_032346.9+420705_M_1h,158540509456242443,50.94569976,42.11812746,900.0,6,M,b,2586782.0,3579315748864.0,nan,nan,nan,nan,nan,nan,6217269.0,3598819000320.0,1232536.75,2572764.25,3614096.0,1437472.375
perseus_032350.4+412245_M_1h,157650509601425590,50.96005861,41.37915664,900.0,8,M,b,29512.083984375,3379403161600.0,59303.4453125,3602466996224.0,92631.7265625,3458438266880.0,110012.0,3449848332288.0,144557.109375,3458438266880.0,29593.72265625,68675.1640625,113344.3984375,140475.234375
perseus_032350.9+411658_L_1h,157530509622529869,50.96226365,41.28270689,900.0,2,L,n,1192559.25,3602466996224.0,2744099.5,3602798870528.0,4054710.25,3590542065664.0,4970496.5,3593519497216.0,6399116.0,3562870407168.0,1356437.0,3262871.25,5090958.5,7217718.5
perseus_032351.6+411549_M_1h,157510509650726952,50.96504294,41.26356401,900.0,9,M,n,104664.5859375,3515280785408.0,232273.546875,3524682579968.0,nan,nan,nan,nan,nan,nan,139315.578125,317102.9375,504893.6875,696947.0625
