ob_code,obj_id,ra,dec,equinox,exptime,priority,resolution
obj0_eet900,124752116305706478,211.630538,13.963311,J2000,900,2,L
obj1_eet900,124832109466023764,210.946572,14.027695,J2000,900,7,L
obj2_eet900,124722118115754536,211.811546,13.936697,J2000,900,2,L
obj3_eet900,124612112317496101,211.231722,13.84631,J2000,900,1,L
obj4_eet900,124872120527261649,212.052722,14.059221,J2000,900,1,L
obj5_eet900,124802116285097104,211.628509,14.005499,J2000,900,2,L
obj6_eet900,124902120490395572,212.049046,14.087513,J2000,900,1,L
obj7_eet900,124892114674481458,211.467436,14.07575,J2000,900,4,L
obj8_eet900,125042112878312930,211.287819,14.202011,J2000,900,5,L
obj9_eet900,124912117576302172,211.757595,14.093045,J2000,900,5,L
obj10_eet900,124942121029025364,212.102888,14.1207,J2000,900,9,L
obj11_eet900,125002109166598483,210.91666,14.17329,J2000,900,1,L
obj12_eet900,124942115258786103,211.525819,14.121303,J2000,900,8,L
obj13_eet900,125302117280086828,211.727995,14.421944,J2000,900,2,L
obj14_eet900,125142119449519061,211.944934,14.290474,J2000,900,2,L
obj15_eet900,125152121309887516,212.130965,14.297526,J2000,900,6,L
obj16_eet900,125172115590609410,211.559099,14.315733,J2000,900,1,L
obj17_eet900,125032116620765399,211.662062,14.195743,J2000,900,8,L
obj18_eet900,125262111935510968,211.193526,14.383737,J2000,900,8,L
obj19_eet900,125332107561590304,210.75616,14.441491,J2000,900,1,L
obj20_eet900,125452120363702035,212.036292,14.542943,J2000,900,2,L
obj21_eet900,125262116320715197,211.632049,14.387145,J2000,900,5,L
obj22_eet900,125242111570163776,211.156993,14.369405,J2000,900,3,L
obj23_eet900,125382111982475482,211.198245,14.487492,J2000,900,4,L
obj24_eet900,125482108358334306,210.835805,14.569819,J2000,900,6,L
obj25_eet900,125462108143923717,210.814379,14.552646,J2000,900,4,L
obj26_eet900,125362116462393169,211.646097,14.468913,J2000,900,2,L
