obj_id,ob_code,ra,dec,equinox,exptime,priority,resolution,g_hsc,g_hsc_error,r2_hsc,r2_hsc_error,i2_hsc,i2_hsc_error,z_hsc,z_hsc_error,y_hsc,y_hsc_error,g_sdss,g_sdss_error,r_ps1,r_ps1_error,i_sdss,i_sdss_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error
0,ob_00000000,278.6241774801468,56.29564017478978,J2000.0,3600.0,9,L,3093.21,388.14,3907.57,559.47,27364.62,7552.45,15963.43,4232.58,,,1337.70,370.75,71409.74,8837.30,86138.36,15729.75,139522.72,31333.96,2324.40,652.75
1,ob_00000001,157.99623831073885,31.71664232033844,J2000.0,3600.0,7,M,108911.74,30452.86,1708.57,106.23,,,,,3950.57,687.98,7774.45,1927.00,1439.63,276.71,,,199300.38,59128.03,,
2,ob_00000002,309.09525116809766,-6.329978341797448,J2000.0,3600.0,3,M,11842.32,2905.20,1410.79,109.08,,,92771.70,4812.69,10013.60,1843.72,188615.61,31165.50,,,,,,,16354.71,2952.60
3,ob_00000003,251.052490461371,67.03460586535277,J2000.0,3600.0,9,M,13361.80,1037.51,14167.10,3100.14,72971.07,5470.32,10700.41,1434.20,10909.85,3178.63,95927.69,6742.61,,,160002.85,28605.85,3499.79,256.17,,
4,ob_00000004,33.90384523955383,39.91056358284585,J2000.0,3600.0,4,L,2003.67,599.62,12922.30,2950.35,43154.71,4362.91,72690.66,18127.43,,,73456.88,3963.10,,,,,959.53,182.79,,
5,ob_00000005,351.22404658923216,33.42931710053735,J2000.0,3600.0,5,L,17753.40,4789.87,2756.20,670.94,25947.66,6121.05,56540.15,14688.76,4515.66,1191.73,,,,,9201.41,1429.16,,,5193.80,1323.70
6,ob_00000006,274.0102927165271,9.133225209536493,J2000.0,3600.0,4,M,27276.28,3299.81,,,22915.90,1278.36,194030.06,16411.50,197794.11,19166.71,68408.47,11874.25,,,203171.93,15252.49,14121.26,3359.16,,
7,ob_00000007,282.9831498997034,-5.791808736050459,J2000.0,3600.0,1,L,6684.18,1732.70,2240.18,526.12,226993.96,66919.22,118716.77,28917.50,174300.27,34610.49,13249.10,2011.75,,,2103.29,516.79,,,22668.38,1325.41
8,ob_00000008,46.12090776319651,-21.02025720873771,J2000.0,3600.0,9,L,52539.75,4024.80,14930.01,3735.76,,,1443.99,113.97,8246.31,2222.68,1297.70,249.21,,,97061.48,27720.86,,,30213.81,6669.81
9,ob_00000009,162.13893764240416,55.40119018394384,J2000.0,3600.0,0,L,105817.09,31721.44,,,1947.00,447.47,38754.38,5716.88,,,,,,,,,3180.87,850.37,12839.15,3692.85
10,ob_00000010,133.48728872372925,9.679357179289457,J2000.0,3600.0,1,M,16334.07,3535.04,,,227531.04,61864.04,7952.25,2382.91,54394.73,4094.65,62049.02,16080.21,,,,,3346.45,693.51,17809.55,4582.18
11,ob_00000011,333.63539598549664,-11.732945209778485,J2000.0,3600.0,2,M,22880.50,4862.82,2183.82,448.72,,,17537.44,1721.26,22658.20,5726.65,,,3061.88,209.79,19822.41,4776.43,,,37622.18,4488.31
12,ob_00000012,231.79144322903923,-2.951481064359432,J2000.0,3600.0,2,M,63362.48,4600.76,168514.39,44577.34,15317.76,1987.99,25056.30,2217.25,3475.48,592.36,98029.23,10419.96,1281.07,207.16,154058.92,18672.23,1624.76,387.74,42349.33,2682.04
13,ob_00000013,296.1941807774988,20.431844408419156,J2000.0,3600.0,1,M,30058.80,8243.88,48588.39,2484.08,36355.83,7350.61,12119.18,1886.96,2377.57,454.35,161440.19,40077.73,,,,,20775.99,5414.51,,
14,ob_00000014,159.6291115778392,-13.93755246180122,J2000.0,3600.0,0,M,30245.32,1731.54,,,,,,,10305.39,3045.62,77929.49,20414.35,20001.63,1433.67,,,3307.49,883.97,30470.99,8661.86
15,ob_00000015,81.80593984251968,49.089459165014766,J2000.0,3600.0,6,L,37498.22,4132.57,88067.03,19315.02,,,971.29,275.09,,,9895.38,2955.81,1802.90,190.37,215555.94,60849.43,2658.54,157.14,100032.35,18316.31
16,ob_00000016,199.65052332570053,37.72942976459415,J2000.0,3600.0,9,M,28137.55,2412.95,40425.55,2320.50,2193.37,439.65,2489.21,734.83,51324.86,8019.24,,,12419.43,1990.10,,,41657.86,7875.32,1849.05,389.37
17,ob_00000017,22.974212197503117,33.68863054489329,J2000.0,3600.0,1,L,5178.64,1264.58,3780.40,568.34,54345.49,15425.71,3802.99,256.36,12805.47,1824.73,,,3737.23,880.96,,,1348.40,140.32,,
18,ob_00000018,297.94722191732956,7.667054834615657,J2000.0,3600.0,2,L,44411.60,4421.22,211232.71,57858.48,38549.87,6434.36,17178.20,1451.55,40234.71,6212.43,7204.85,926.45,2459.15,268.70,10995.51,1772.85,136012.99,36055.20,109373.62,16946.50
19,ob_00000019,227.39918368394333,24.80859350195295,J2000.0,3600.0,5,M,1209.88,335.93,2370.19,516.47,59984.79,5949.62,98422.62,24377.76,10143.12,807.39,,,3643.79,938.05,99978.13,18670.61,941.36,199.66,4951.51,395.44
20,ob_00000020,272.9115864307346,20.869723795060864,J2000.0,3600.0,9,L,1447.99,309.97,2015.04,220.48,,,1413.85,166.35,,,2745.36,321.27,46681.88,8703.82,,,3249.24,503.81,2116.41,157.01
21,ob_00000021,127.62934852675261,26.912349500513958,J2000.0,3600.0,6,L,16062.57,948.34,,,5250.25,779.80,34727.30,9418.47,159004.68,41250.46,,,119446.83,28679.83,,,136820.08,13275.11,61647.35,6669.20
22,ob_00000022,349.4512887821652,-22.099172941495667,J2000.0,3600.0,7,L,37319.27,1916.62,98023.24,13429.95,64892.29,5371.60,173677.65,37490.63,227739.35,27579.07,,,61374.44,10319.44,4172.92,1238.99,6096.05,821.48,99668.65,25830.15
23,ob_00000023,321.5236036759912,6.288961225999005,J2000.0,3600.0,5,M,11883.83,747.67,8279.10,2180.19,36832.76,3341.39,34532.75,2692.21,70881.82,8927.51,1209.98,164.75,14226.57,2486.78,8344.03,451.06,189657.23,42851.99,,
24,ob_00000024,280.21805894655427,-26.039884658943336,J2000.0,3600.0,4,L,2105.98,424.32,118245.84,14749.50,1339.91,296.31,,,1633.70,438.79,,,14038.97,2877.00,,,3247.52,328.29,176440.87,18821.77
